word,rating,count
exterior,4.5,18
fat,4.5,54
foot,4.5,20
francisco,4.5,24
hey,4.5,24
larger,4.5,16
lastly,4.5,18
located,4.5,32
lol,4.5,112
mid,4.5,14
mushy,4.5,12
overwhelmed,4.5,36
peppers,4.5,32
pot,4.5,12
pros,4.5,16
roast,4.5,14
satisfied,4.5,42
seconds,4.5,20
shower,4.5,12
sidewalk,4.5,12
sponge,4.5,22
sprinkles,4.5,12
strips,4.5,14
suggested,4.5,22
surprised,4.5,86
tempting,4.5,12
terms,4.5,14
thumbs,4.5,20
topped,4.5,24
vinaigrette,4.5,14
wait,4.5,1106
warm,4.5,118
york,4.5,16
bread,4.499,541
sure,4.498,470
close,4.497,155
friends,4.497,296
location,4.497,581
strawberry,4.497,145
believe,4.496,121
let,4.496,262
sandwich,4.496,1737
boxes,4.495,182
afternoon,4.494,81
stopped,4.494,87
egg,4.493,71
run,4.493,71
day,4.492,516
truly,4.492,61
leaving,4.491,53
local,4.49,49
turnover,4.49,49
later,4.489,137
near,4.488,86
ahead,4.487,80
likely,4.486,35
mayo,4.486,37
chips,4.485,476
plates,4.485,33
wrong,4.485,291
choice,4.484,62
cute,4.484,31
loves,4.484,93
size,4.484,93
thats,4.484,31
85,4.483,29
walk,4.483,180
stay,4.482,56
group,4.481,27
unique,4.481,52
wall,4.481,27
wanna,4.481,27
fell,4.48,25
hungry,4.48,75
normal,4.48,25
damn,4.479,96
tastes,4.479,119
crazy,4.478,230
fan,4.478,201
level,4.478,23
good,4.477,2851
blown,4.476,21
bustling,4.476,21
caramel,4.476,63
dad,4.476,21
friend,4.476,286
grilled,4.476,105
needless,4.476,21
custard,4.475,40
danishes,4.475,59
taken,4.475,40
ambiance,4.474,19
box,4.474,274
busy,4.474,557
display,4.474,97
expect,4.474,133
girls,4.474,19
glaze,4.474,19
sell,4.474,38
eating,4.473,205
foods,4.473,55
large,4.473,184
disneyland,4.472,72
bundt,4.471,17
chewy,4.471,17
cousin,4.471,34
fall,4.471,17
open,4.471,172
cafe,4.469,209
delicate,4.467,15
endless,4.467,30
energy,4.467,15
handful,4.467,15
hole,4.467,15
sounds,4.467,30
various,4.467,30
ve,4.466,1264
50,4.465,86
choices,4.465,71
crunch,4.464,28
decorated,4.464,28
make,4.464,653
sauce,4.464,110
avoid,4.463,54
brulee,4.463,54
true,4.463,54
yeah,4.463,67
basically,4.462,78
basil,4.462,13
bonus,4.462,13
caught,4.462,13
coffees,4.462,26
conan,4.462,13
died,4.462,13
establishment,4.462,39
fully,4.462,13
shaped,4.462,13
wet,4.462,13
time,4.461,1805
reviews,4.46,215
addition,4.459,37
apple,4.459,122
95,4.458,24
dense,4.458,24
doors,4.458,24
drink,4.458,131
mind,4.458,120
self,4.458,24
hate,4.457,70
heading,4.457,35
helped,4.457,81
little,4.457,536
come,4.456,842
door,4.456,215
feel,4.456,195
100,4.455,44
calories,4.455,33
chance,4.455,77
enter,4.455,33
excuse,4.455,22
night,4.455,55
wanting,4.455,33
seat,4.453,53
despite,4.452,73
means,4.452,42
spot,4.452,219
whipped,4.452,31
year,4.451,91
agree,4.45,20
delivered,4.45,20
eats,4.45,20
mexican,4.45,20
soy,4.45,20
visited,4.45,40
prepared,4.449,98
years,4.449,236
cents,4.448,87
downey,4.448,105
mixed,4.448,29
plain,4.448,29
bucks,4.447,47
kid,4.446,65
honestly,4.445,110
line,4.445,2182
feed,4.444,18
mozzarella,4.444,18
particularly,4.444,18
pleased,4.444,18
soooooo,4.444,18
spend,4.444,45
split,4.444,27
doing,4.443,70
lot,4.443,592
ago,4.442,86
authentic,4.442,52
decide,4.441,59
heart,4.44,50
hectic,4.438,32
mash,4.438,32
ropa,4.438,73
sprinkled,4.438,16
window,4.438,16
patience,4.436,39
personally,4.436,39
quite,4.436,163
frosting,4.435,46
manage,4.435,23
bunch,4.434,53
high,4.433,120
need,4.433,372
stopping,4.433,30
cookie,4.432,74
price,4.432,296
spread,4.432,37
vieja,4.432,74
known,4.431,72
similar,4.431,51
texture,4.431,65
actually,4.43,256
extra,4.43,100
free,4.43,172
trying,4.43,193
actual,4.429,42
aside,4.429,28
brown,4.429,21
brownies,4.429,14
checked,4.429,14
chowder,4.429,14
enjoyable,4.429,14
floor,4.429,14
hearty,4.429,14
kind,4.429,205
match,4.429,14
menus,4.429,21
returning,4.429,14
rolled,4.429,28
sense,4.429,21
space,4.429,63
spaces,4.429,14
specialty,4.429,21
story,4.429,35
successful,4.429,14
unlike,4.429,14
won,4.429,184
deep,4.427,75
leave,4.426,136
ones,4.426,108
fun,4.425,40
assortment,4.423,26
count,4.423,26
doubt,4.423,26
pudding,4.423,26
start,4.423,104
taste,4.423,411
10,4.422,249
hours,4.421,140
interior,4.421,19
just,4.421,2011
neighborhood,4.421,38
spent,4.421,38
throw,4.421,19
outside,4.42,231
picking,4.42,50
reason,4.42,176
couple,4.419,186
don,4.419,1165
strong,4.419,31
filling,4.418,285
ahhh,4.417,12
efficiency,4.417,24
fingers,4.417,12
gravy,4.417,12
guide,4.417,12
melting,4.417,12
months,4.417,24
pastrami,4.417,84
pop,4.417,24
thankfully,4.417,12
thanks,4.417,60
tomato,4.417,36
word,4.417,36
feeling,4.415,53
know,4.415,651
really,4.415,1259
total,4.414,58
trouble,4.414,29
yelpers,4.414,29
assorted,4.412,17
careful,4.412,17
indoor,4.412,17
tad,4.412,17
away,4.411,270
crowd,4.411,95
end,4.411,141
usual,4.411,73
white,4.411,90
smile,4.41,61
straight,4.41,39
dish,4.409,22
post,4.409,22
beware,4.407,27
flourless,4.406,32
mix,4.406,32
relatively,4.406,32
stuff,4.406,192
daughter,4.405,42
restaurant,4.404,166
sunday,4.404,89
sister,4.403,72
sitting,4.403,72
want,4.403,586
crowded,4.401,287
like,4.401,1834
bank,4.4,15
brings,4.4,35
closing,4.4,30
item,4.4,120
latin,4.4,25
napolean,4.4,15
ran,4.4,30
save,4.4,40
section,4.4,45
hot,4.399,213
buying,4.397,58
work,4.395,233
comes,4.394,170
going,4.394,528
idea,4.393,56
party,4.393,163
popular,4.393,178
25,4.392,51
waits,4.391,23
came,4.39,362
corner,4.39,59
mentioned,4.39,41
point,4.39,123
satisfying,4.39,41
veggie,4.39,59
guarantee,4.389,18
santa,4.389,18
massive,4.387,31
costs,4.385,13
courteous,4.385,13
entered,4.385,13
entering,4.385,13
jump,4.385,13
minced,4.385,13
owners,4.385,13
pressed,4.385,13
cup,4.384,73
ended,4.384,99
items,4.384,430
think,4.384,508
fairly,4.383,81
eclairs,4.381,21
main,4.381,42
wife,4.38,50
compare,4.379,29
flavor,4.379,224
looking,4.378,156
vegetarian,4.378,37
65,4.375,16
beverage,4.375,16
brownie,4.375,16
btw,4.375,16
dolce,4.375,16
entrance,4.375,16
expected,4.375,72
fair,4.375,48
honest,4.375,32
insane,4.375,48
negative,4.375,32
occasions,4.375,40
tomorrow,4.375,16
workers,4.375,144
food,4.374,1937
finding,4.373,59
non,4.372,43
rush,4.372,78
small,4.372,199
stomach,4.372,43
tomatoes,4.372,43
event,4.371,35
separate,4.371,62
overall,4.37,138
products,4.37,27
dropped,4.368,19
giant,4.368,19
layered,4.368,19
liked,4.366,82
worker,4.366,41
crowds,4.365,74
dine,4.365,52
serve,4.365,63
cost,4.364,55
situation,4.364,33
slow,4.364,55
does,4.362,130
probably,4.362,260
sugar,4.362,141
chaotic,4.361,36
folks,4.361,36
getting,4.36,253
impressed,4.359,64
mins,4.359,39
mouse,4.359,39
atmosphere,4.358,81
tasted,4.358,176
way,4.358,576
14,4.357,14
30pm,4.357,14
begin,4.357,28
bell,4.357,14
beverages,4.357,14
biz_photos,4.357,14
days,4.357,129
ladies,4.357,14
leftovers,4.357,14
state,4.357,14
temperature,4.357,14
yep,4.357,14
bags,4.356,45
building,4.355,62
process,4.355,31
reminded,4.355,31
christmas,4.353,17
dipping,4.353,17
ingredients,4.353,34
pain,4.353,34
stepped,4.353,17
ya,4.353,17
enjoyed,4.351,94
quality,4.351,322
consistency,4.35,20
fly,4.35,20
polite,4.35,20
running,4.35,20
possible,4.349,43
read,4.349,43
dough,4.348,46
glass,4.348,46
opportunity,4.348,23
ordering,4.348,227
rating,4.348,46
able,4.347,118
different,4.347,213
limited,4.346,52
tend,4.346,26
turn,4.346,78
case,4.345,116
note,4.345,55
somewhat,4.345,29
friday,4.343,35
got,4.343,886
layer,4.343,35
kept,4.34,47
ready,4.337,98
served,4.337,101
big,4.334,296
18,4.333,12
35,4.333,12
78,4.333,12
bad,4.333,357
checkers,4.333,12
combined,4.333,12
cubans,4.333,12
deserved,4.333,12
east,4.333,12
fellow,4.333,12
heat,4.333,21
liking,4.333,12
missed,4.333,27
mood,4.333,33
opinion,4.333,45
regardless,4.333,21
snag,4.333,12
soaked,4.333,12
sticks,4.333,15
tough,4.333,36
shop,4.327,55
times,4.327,376
turnovers,4.327,52
bringing,4.326,43
extremely,4.326,138
started,4.325,80
water,4.324,37
people,4.322,938
difference,4.321,28
disappointed,4.321,196
excited,4.321,53
gotten,4.321,53
happen,4.321,28
help,4.321,131
birthday,4.32,241
working,4.32,75
table,4.318,198
volume,4.318,22
check,4.316,133
forward,4.316,38
sight,4.316,19
tasting,4.316,57
deal,4.314,102
bowl,4.313,16
chain,4.313,16
institution,4.313,16
bigger,4.311,61
dining,4.311,61
guess,4.311,106
helping,4.311,45
walked,4.311,90
biggest,4.31,29
heavy,4.31,42
saw,4.31,87
special,4.31,158
tables,4.31,71
asap,4.308,13
constant,4.308,13
content,4.308,13
lax,4.308,13
oily,4.308,13
portion,4.308,39
pumpkin,4.308,26
remarkable,4.308,13
treat,4.308,120
worked,4.308,26
short,4.307,101
generally,4.304,23
meeting,4.304,23
